"Chemical, Pharmacological or Therapeutic subgroup
(ATC
classification)","International Non‐proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language
(Cyrillic
alphabet)","Brand name in Ukraine Cyrillic alphabet","Brand name in Ukraine (Latin alphabet)","Manufacturer","Dosage form
in Ukrainian language (Cyrillic alphabet)","Dosage form (in English)","Information for patients in Ukrainian","Chemical, Pharmacological or Therapeutic subgroup (ATC
classification)","International Non‐ proprietary Name (active
ingredient)","Active ingredient name in Ukrainian language (Cyrillic
alphabet)","Brand name in Ukraine (Cyrillic alphabet)","Chemical, Pharmacological or Therapeutic
subgroup
(ATC classification)","Dosage form in Ukrainian
language (Cyrillic alphabet)","Informatio n for patients in Ukrainian","Dosage form in Ukrainian language (Cyrillic
alphabet)","...1","...2","...3","...4","...5","...6","‐ 0.06 мг/0,015 мг, (жовті таблетки);
‐ плацебо (зелені
таблетки);","‐ 0.06 mg / 0.015 mg (yellow tablets);
‐ placebo (green
pills);","...9","G03AA12","Drospirenone / Ethinylestradiol","Дроспіренон /
Естрадіол","ЛІБЕРАТТІ®","LIBERATTI®","Лабораторіос Леон Фарма, С.А., Іспанія","таблетки, по 3
мг/0,02 мг;","tablets, 3 mg / 0.02 mg;","https://compendium. com.ua/info/337142/
liberatti/","G03AA16","Dienogest / Ethinylestradiol","Дієногест /
Етинілестрадіол","СИЛУЕТ®","SILUETTE®","ВАТ ""Гедеон Ріхтер"", Угорщина","таблетки, по 2
мг/0,03 мг;","tablets, 2 mg / 0.03 mg;","https://compendium. com.ua/info/200618/
siluet‐sup‐sup‐/","G03AD01","Levonorgestrel","Левоноргестрел","ЛЕРГЕСАН","LERGESUN","Сан Фармасьютикал Індастріз Лтд., Індія","таблетки, по 0,75
мг; 1,5 мг;¤","tablets, 0.75 mg; 1.5 mg;","https://compendium. com.ua/info/452740/
lergesan/","Ukrainian alphabet","Latin alphabet","Position in a word","Examples...4","Examples...5"
"R03A L01","Fenoterol / Ipratropium bromide","Фенотерол / Іпратропію бромід","ІПРАДУАЛ","‐","ТОВ
""Мультіспрей"",
Україна","‐ аерозоль дозований по 20 мкг/50 мкг/доза по 200 доз у балоні №
1
‐ розчин для інгаляцій по 20
мл у флаконі з
крапельницею,","‐ aerosol dosed at 20 μg / 50 μg / dose at 200 doses in a
cylinder № 1
‐ solution for inhalation of 20 ml in a dropper bottle,","https://mozdocs.kiev.ua/likiview.ph p?id=43216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A L01","Fenoterol / Ipratropium
bromide","Фенотерол /
Іпратропію
бромід","ФРІВЕЙ® КОМБІ","FREEWAY COMBI","ПАТ ""Фармак"", м. Київ, Україна","розчин для інгаляцій по 20
мл або по 25 мл у флаконі;","solution for inhalation of 20 ml or 25 ml in a vial;","https://compendium.com.ua/info/3
28309/frivej‐kombi/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A05","Fluticasone","Флутиказон","НЕБУФЛЮЗОН®","NEBUFLUSON","ТОВ ""Юрія‐Фарм"",
м.Київ, Україна","суспензія для інгаляцій, 1,0
мг/мл по 2 мл у контейнері
однодозовому N 10","suspension for inhalation, 1.0 mg / ml in 2 ml in a
single‐dose
container No. 10","https://compendium.com.ua/info/2 11071/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A05","Fluticasone","Флутиказон","ФЛІКСОТИД™ ЕВОХАЛЕР™","FLIXOTIDE™ EVOHALER™","Глаксо Веллком С.А., Іспанія","‐ аерозоль для інгаляцій, дозований, 125 мкг/дозу по 60 доз або
по 120 доз в балоні
‐ аерозоль для інгаляцій, дозований, 50 мкг/дозу по
120 доз в балоні","‐ aerosol for inhalation, dosed, 125 mcg / dose of 60 doses or
120 doses in a cylinder
‐ aerosol for inhalation, dosed, 50 mcg / dose of 120 doses in a
cylinder","https://compendium.com.ua/dec/2 72685/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B A05","Fluticasone","Флутиказон","ФЛІКСОТИД™ НЕБУ
ЛИ™","FLIXOTIDE™ NEBUL
ES™","Глаксо Веллком С.А., Іспанія","‐ суспензія для інгаляцій, 0,5
мг/2 мл по 2 мл у небулі;
‐ суспензія для інгаляцій, 2
мг/2 мл по 2 мл у небулі;","‐ suspension for inhalation, 0.5 mg / 2 ml of 2 ml in the
nebula;
‐ suspension for inhalation, 2 mg / 2 ml of 2 ml in the
nebula;","https://compendium.com.ua/info/_ 3469/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C13","Formoterol","Формотерол","ЗАФІРОН","ZAFIRON","АТ ""Адамед Фарма""","капсули, що містять порошок для інгаляцій, по 12 мкг по 10 капсул
у блістері; N 6 або 12 блістерів разом з
інгалятором","capsules containing powder for inhalation, 12 mcg 10 capsules in a
blister; № 6 or 12 blisters with an inhaler","https://compendium.com.ua/info/1 69501/zafiron/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C13","Formoterol","Формотерол","ФОРАТЕК","FORATEC","Ципла Лтд., Індія","аерозоль (суспензія) для інгаляцій, 12 мкг/дозу по 120
доз у контейнері № 1","aerosol (suspension) for inhalation, 12 μg / dose of 120
doses in a container № 1","https://mozdocs.kiev.ua/likiview.ph p?id=44633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C13","Formoterol","Формотерол","ФОРМОТЕРОЛ ІЗІХЕЙЛЕР","FORMOTEROL EASYHALER","Оріон Корпорейшн, Фінляндія","порошок для інгаляцій 12 мкг/доза по 120 доз (12 мкг/дозу) в
інгаляторі з захисним ковпачком у
ламінованому пакеті","powder for inhalation 12 mcg
/ dose of 120 doses (12 mcg / dose) in an inhaler with a protective
cap in a laminated
package","https://compendium.com.ua/info/2
55155/formoterol‐izikhejler/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C13","Formoterol","Формотерол","ФОРТІКС","FORTIX","Лабораторіос Ліконса, С.А., Іспанія","Порошок для інгаляцій, тверді капсули по 12 мкг № 60 (10х6) у
блістерах в
комплекті з інгалятором","Powder for inhalation, hard capsules of 12 mcg № 60 (10x6) in
blisters, with inhaler","https://compendium.com.ua/info/1 72799/fortiks/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C13","Formoterol","Формотерол","ФОРТУЛІН","FORTULIN","МЕДА
Меньюфекчеринг ГмбХ, Німеччина","порошок для інгаляцій, 12 мкг/дозу; по 60 доз порошку у
картриджі; по 1 картриджу
у контейнері","powder for inhalation, 12 mcg
/ dose; 60 doses of powder in the cartridge; 1 cartridge in a
container","https://compendium.com.ua/dec/2 65264/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A K07","Formoterol / Budesonide","Формотерол /
Будесонід","БУФОМІКС ІЗІХЕЙЛЕР","BUFOMIX EASYHALER","Оріон Корпорейшн, Фінляндія","порошок для інгаляцій 160 мкг/4,5 мкг/доза по 60 доз або 120 доз
в інгаляторі, по 1 ламінованому пакету в картонній коробці; по 60
доз
або 120 доз в інгаляторі","powder for inhalation 160 mcg
/ 4.5 mcg / dose of 60 doses or 120 doses in the inhaler, 1 laminated
bag in a cardboard box; 60 doses or 120 doses in
the inhaler","https://compendium.com.ua/info/2
55153/bufomiks‐izikhejler/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A K07","Formoterol / Budesonide","Формотерол /
Будесонід","ДУОРЕСП СПІРОМАКС","DUORESP SPIROMAX","Нортон (Ватерфорд) Лімітед Т/А АЙВЕКС
Фармасьютикалз Ірландія Т/А Тева Фармасьютикалз
Ірландія, Ірландія","‐ порошок для інгаляцій, 160 мкг/4,5 мкг/дозу (120 доз) в
інгаляторах № 1 (1х1) у пакетиках;
‐ порошок для інгаляцій, 320 мкг/9 мкг/дозу (60 доз) в інгаляторах №
1 (1х1) у
пакетиках","‐ powder for inhalation, 160 mcg / 4.5 mcg / dose (120 doses) in
inhalers № 1 (1x1) in sachets;
‐ powder for inhalation, 320 mcg / 9 mcg / dose (60 doses) in
inhalers № 1 (1x1) in
sachets","https://mozdocs.kiev.ua/likiview.ph p?id=42948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A K07","Formoterol / Budesonide","Формотерол /
Будесонід","СИМБІКОРТ ТУРБУХАЛЕР","SYMBICORT®TURBU HALER®","АстраЗенека АБ, Швеція","‐ порошок для інгаляцій, дозований, по 160 мкг/4,5 мкг/доза, по
60 доз у інгаляторі;
‐ порошок для інгаляцій, дозований, по 80 мкг/4,5 мкг/доза, по 60 доз
у
інгаляторі","‐ powder for inhalation, dosed, 160 mcg / 4.5 mcg / dose, 60
doses in the inhaler;
‐ powder for inhalation, dosed, 80 mcg / 4.5 mcg / dose, 60 doses in
the inhaler","https://compendium.com.ua/info/1
70267/simbikort‐turbukhaler/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A K07","Formoterol / Budesonide","Формотерол /
Будесонід","ФОРАКОРТ®200","FORACORT 200","Медіспрей Лабораторіс Пвт. Лтд.","аерозоль для інгаляцій, дозований, 200 мкг/6 мкг/дозу; по 120 доз
в
алюмінієвому контейнері","aerosol for inhalation, dosed, 200 mcg / 6 mcg / dose; 120 doses
in an aluminium
container","https://www.apteka24.ua/forakort‐
aer‐200mkg‐120doz/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A L04","Indacaterol / Glycopyrronium bromide","Індакатерол та глікопірронію бромід","УЛЬТІБРО БРИЗХА ЙЛЕР","ULTIBRO® BREEZHALER®","Новартіс Фарма Штейн АГ, Швейцарія","порошок для інгаляцій, тверді капсули по 110 мкг/50 мкг; по 6
капсул у блістері; по 1, по 2 або по 5 блістерів у пачці разом із одним
інгалятором у коробці; по 6 капсул у блістері, по 5 блістерів у пачці
разом із одним інгалятором, по 3
пачки у коробці","powder for inhalation, hard capsules of 110 μg / 50 μg; 6
capsules in a blister; 1, 2 or 5 blisters in a pack with one inhaler
in a box; 6 capsules in a blister, 5 blisters in a pack with one
inhaler, 3 packs in a box","https://compendium.com.ua/info/2
51824/ul_tibro‐brizkhajler/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B B01","Ipratropium bromide","Іпратропію бромід","ІПРАТРОПІУМ‐ ІНТЕЛІ","IPRATROPIUM‐ INTELI","Лабораторіо Альдо‐Юніон,
С.А., Іспанія","інгаляція під тиском, розчин по 20 мкг/доза по 200 доз
(10 мл) у балоні № 1","inhalation under pressure, solution of 20 μg / dose of 200
doses (10 ml) in a cylinder № 1","https://compendium.com.ua/info/3 26660/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B B01","Ipratropium
bromide","Іпратропію
бромід","ФРІВЕЙ®","FREEWAY","ПАТ ""Фармак"", м.
Київ, Україна","розчин для інгаляцій, 0,25
мг/мл по 25 мл у флаконі,","solution for inhalation, 0.25
mg / ml in 25 ml vials,","https://compendium.com.ua/info/3
49034/539413/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C02","Salbutamol","Сальбутамол","АСТАЛІН","ASTHALIN","Ципла Лтд., Індія","аерозоль (суспензія) для інгаляцій, 100 мкг/дозу, по
200 доз у контейнері","aerosol (suspension) for inhalation, 100 mcg / dose,
200 doses in a canister","https://mozdocs.kiev.ua/likiview.ph p?id=45031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03AC02","Salbutamol","Сальбутамол","ВЕНТОЛІН™ ЕВОХАЛЕР™","VENTOLIN™ EVOHALER","Глаксо Веллком С.А., Іспанія","аерозоль для інгаляцій, дозований, 100 мкг/дозу; по
200 доз у балоні;","aerosol for inhalation, dosed, 100 mcg / dose; 200 doses in a
canister;","https://compendium.com.ua/info/1
72380/ventolin‐evokhaler‐/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A C02","Salbutamol","Сальбутамол","ВЕНТОЛІН™ НЕБУЛИ","VENTOLIN™ NEBULES","Аспен Бад Олдесло ГмбХ,
Німеччина","розчин для інгаляцій, 2,5
мг/2,5 мл; по 2,5 мл у небулі;
по 10 небул у пакетику з","solution for inhalation, 2.5 mg
/ 2.5 ml; 2.5 ml per plastic
ampoule; 10 ampoules in an","https://compendium.com.ua/info/1
32865/ventolin‐nebuly/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","","","","","алюмінієвої фольги; № 4
пакетика","aluminium foil sachet; 4
sachets","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03AC02","Salbutamol","Сальбутамол","НЕБУТАМОЛ®","NEBUTAMOL","ТОВ ""Юрія‐Фарм"",
м.Київ, Україна","розчин для інгаляцій, 1 мг/мл по 2 мл або 2,5 мл у контейнерах
однодозових; по 10 контейнерів у пакеті з полімерної плівки; по 1
або
по 4 пакети у пачці з картону","solution for inhalation,
1 mg / ml in 2 ml or 2.5 ml in single‐dose containers; 10 containers
in a package of polymer film; 1 or 4 bags in a
cardboard pack","https://compendium.com.ua/info/2
00433/nebutamol‐sup‐sup‐/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03AC02","Salbutamol","Сальбутамол","САЛЬБУТАМОЛ","SALBUTAMOL","ГлаксоВеллком Продакшн, Франція","аерозоль для інгаляцій, дозований, 100 мкг/дозу, 1 балон з
дозуючим клапаном
на 200 доз","aerosol for inhalation, dosed, 100 mcg / dose, 1 canister with
dosing valve ‐ 200 doses","https://compendium.com.ua/info/2 225/116721/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03AC02","Salbutamol","Сальбутамол","САЛЬБУТАМОЛ‐ ІНТЕЛІ","SALBUTAMOL‐ INTELI","Лабораторіо Альдо‐Юніон,
С.А., Іспанія","Інгаляція під тиском, суспензія.","Inhalator under pressure, suspension.","https://compendium.com.ua/info/1 71527/111149/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03AC02","Salbutamol","Сальбутамол","САЛЬБУТАМОЛ‐ НЕО","SALBUTAMOL‐NEO","ТОВ ""Мікрофарм"",
м.Харків, Україна","інгаляція під тиском, 100
мкг/доза по 12 мл/200 доз у
контейнері;","inhalator under pressure, 100 mcg / dose of 12 ml ‐ 200
doses in a container;","https://compendium.com.ua/info/1 72656/140687/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A K06","Salmeterol and fluticasone","Сальметерол та флутиказон","АІРТЕК","AIRTEC","Гленмарк Фармасьютикалз ЛТД., Індія","‐ аерозоль для інгаляцій дозований, 25/125 мкг/дозу, по 120 доз в
алюмінієвому контейнері;
‐ аерозоль для інгаляцій дозований, 25/250 мкг/дозу, по 120 доз в
алюмінієвому контейнері;
‐ аерозоль для інгаляцій дозований, 25/50 мкг/дозу, по 120 доз в
алюмінієвому
контейнері","‐ aerosol for inhalation dosed, 25/125 mcg / dose, 120 doses in
an aluminium container;
‐ aerosol for inhalation dosed, 25/250 mcg / dose, 120 doses in an
aluminium container;
‐ aerosol for inhalation dosed, 25/50 mcg / dose, 120 doses in an
aluminum container","https://compendium.com.ua/info/2 20110/airtek/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A K06","Salmeterol and fluticasone","Сальметерол та флутиказон","СЕРЕТИД™ ДИСКУС™","SERETIDE™ DISKUS™","Глаксо Оперейшнс ЮК Лімітед, Великобританія","‐ порошок для інгаляцій, дозований, 50 мкг/100
мкг/дозу, по 60 доз у 1
дискусі;
‐ порошок для інгаляцій, дозований, 50 мкг/250
мкг/дозу, по 60 доз у 1
дискусі;
‐ порошок для інгаляцій, дозований, 50 мкг/500
мкг/дозу, по 60 доз у 1
дискусі;","‐ powder for inhalation, dosed, 50 mcg / 100 mcg / dose, 60 doses
in 1 disc;
‐ powder for inhalation, dosed, 50 mcg / 250 mcg / dose, 60 doses in
1 disc;
‐ powder for inhalation, dosed, 50 mcg / 500 mcg / dose, 60 doses in
1 disc","https://compendium.com.ua/info/1
67549/seretid‐diskus‐/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03A K06","Salmeterol and fluticasone","Сальметерол та флутиказон","СІРДУПЛА","SIRDUPLA","3М Хелс Кеа Лімітед, Велика Британія","‐інгаляція під тиском, суспензія, 25 мкг/125 мкг/дозу, по 120 доз
в інгаляторі;
‐ інгаляція під тиском, суспензія, 25 мкг/250 мкг/дозу, по 120 доз
в
інгаляторі;","‐ inhalation under pressure, suspension, 25 mcg / 125 mcg
/ dose, 120 doses in the inhaler;
‐ inhalation under pressure, suspension, 25 mcg / 250 mcg
/ dose, 120 doses in the
inhaler;","https://mozdocs.kiev.ua/likiview.ph p?id=47345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R03B B04","Tiotropium bromide","Тіотропію бромід","СПІРИВА®","SPIRIVA®","Берінгер Інгельхайм Фарма ГмбХ і Ко. КГ,
Нiмеччина","Порошок для інгаляцій, тверді капсули по 18 мкг, N 10 капсул","Powder for inhalation, hard capsules of 18 mcg, N 10 capsules","https://mozdocs.kiev.ua/likiview.ph p?id=41845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
